OID_,src_GEOID,nbr_GEOID,LENGTH
93,720034301003,720034304023,714.376387064872915
94,720034301003,720034305013,277.835141313091867
95,720034301003,720054012001,1359.571022462846940
96,720034301003,720054012002,2156.407633453735798
97,720034302001,720034301001,1363.684675364801933
98,720034302001,720034302002,978.829614397134947
99,720034302001,720034302003,2871.289242881877726
100,720034302001,720034303001,1403.261524236195100
101,720034302002,720034302001,978.829614397134947
102,720034302002,720034302003,849.783023661010475
103,720034302002,720034303001,112.623860794421191
104,720034302002,720034303002,661.245681386138813
105,720034302003,720034301001,386.499592029392886
106,720034302003,720034301003,2432.091756089855153
107,720034302003,720034302001,2871.289242881877726
108,720034302003,720034302002,849.783023661010475
109,720034302003,720034303002,326.794034261233435
110,720034302003,720034305013,483.861062250816019
111,720034303001,720034302001,1403.261524236195100
112,720034303001,720034302002,112.623860794421191
113,720034303001,720034303002,103.779427871672155
114,720034303001,720034303003,904.136085721554196
115,720034303001,720034306022,1603.066818042113482
116,720034303002,720034302002,661.245681386138813
117,720034303002,720034302003,326.794034261233435
118,720034303002,720034303001,103.779427871672155
119,720034303002,720034303003,285.745491991577524
120,720034303002,720034305013,1025.177055934957480
121,720034303002,720034306022,0.000000000000000
122,720034303003,720034303001,904.136085721554196
123,720034303003,720034303002,285.745491991577524
124,720034303003,720034305013,0.000000000000000
125,720034303003,720034306022,1110.129208999541333
126,720034304011,720034301003,733.277014303119358
127,720034304011,720034304013,2931.250844869869525
128,720034304011,720034304022,1787.796476801270046
129,720034304011,720034304023,4160.338935464209499
130,720034304011,720034305011,737.177255183964007
131,720034304011,720034305022,25.135530607724778
132,720034304012,720034301003,1532.924476509340366
133,720034304012,720034304013,1703.370465606444668
134,720034304012,720034305012,699.186007671982907
135,720034304012,720034305013,1299.143341777365322
136,720034304012,720034305014,108.663148988494981
137,720034304013,720034301003,951.682842643837716
138,720034304013,720034304011,2931.250844869869525
139,720034304013,720034304012,1703.370465606444668
140,720034304013,720034305011,1448.001720581295558
141,720034304013,720034305012,679.167409117055058
142,720034304021,720034301002,1846.643681595338876
143,720034304021,720034304022,1428.905122922147484
144,720034304021,720034304023,3367.023683288886332
145,720034304021,720994205002,3262.544125191093372
146,720034304022,720034304011,1787.796476801270046
147,720034304022,720034304021,1428.905122922147484
148,720034304022,720034304023,1766.782116838877300
149,720034304022,720034305022,3033.254680594817728
150,720034304022,720118102001,94.141718660678038
151,720034304022,720118105004,2082.656658318564951
152,720034304022,720994205002,726.542760957088831
153,720034304022,720994205003,2181.154906964692145
154,720034304023,720034301002,788.821831522364050
155,720034304023,720034301003,714.376387064872915
156,720034304023,720034304011,4160.338935464209499
157,720034304023,720034304021,3367.023683288886332
158,720034304023,720034304022,1766.782116838877300
159,720034305011,720034304011,737.177255183964007
