GISJOIN,YEAR,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,U7B001,U7B002,U7B003,U7B004,U7B005,U7B006,U7B007,U7B008,U7B009,U7B010,U7B011,U7B012,U7B013,U7B014,U7B015,U7B016,U7B017,U7B018,U7B019,U7B020,U7B021,U7B022,U7B023,U7B024,U7B025,U7B026,U7B027,U7B028,U7B029,U7B030,U7B031,U7B032,U7B033,U7B034,U7B035,U7B036,U7B037,U7B038,U7B039,U7B040,U7B041,U7B042,U7B043,U7B044,U7B045,U7B046,U7B047,U7B048,U7B049,U7B050,U7B051,U7B052,U7B053,U7B054,U7B055,U7B056,U7B057,U7B058,U7B059,U7B060,U7B061,U7B062,U7B063,U7B064,U7B065,U7B066,U7B067,U7B068,U7B069,U7B070,U7B071
"G72012508407002","2020","1500000US721258407002","721258407002","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840700","2",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"2013120","0","2","Block Group 2","S","+18.0703014","-067.0421704","BG",922,384,168,21,1,2,0,192,538,502,4,1,3,0,455,1,0,0,31,0,0,7,0,0,0,18,6,1,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"G72012508407003","2020","1500000US721258407003","721258407003","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840700","3",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"2224711","0","3","Block Group 3","S","+18.0772953","-067.0512060","BG",1730,786,328,110,9,0,1,338,944,880,10,1,1,0,813,0,0,0,51,0,0,3,0,0,1,26,11,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700004001","2020","1500000US721270004001","721270004001","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000400","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"66770","211039","1","Block Group 1","S","+18.4688707","-066.1154577","BG",321,128,24,23,1,2,3,75,193,182,0,0,1,0,129,0,0,0,51,0,0,1,0,0,0,9,3,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700004002","2020","1500000US721270004002","721270004002","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000400","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"50408","0","2","Block Group 2","S","+18.4673565","-066.1142889","BG",752,302,117,32,2,3,0,148,450,399,6,0,1,0,315,0,0,0,69,0,0,5,0,3,0,37,4,0,0,30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"G72012700005061","2020","1500000US721270005061","721270005061","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000506","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"183772","0","1","Block Group 1","S","+18.4652514","-066.1151150","BG",692,322,150,33,3,9,0,127,370,329,0,1,0,0,276,3,0,0,49,0,0,0,0,0,0,24,10,0,0,6,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700005062","2020","1500000US721270005062","721270005062","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000506","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"208104","114024","2","Block Group 2","S","+18.4654471","-066.1196664","BG",652,319,129,19,2,1,0,168,333,310,0,4,0,0,281,1,0,0,23,0,0,1,0,0,0,11,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700006001","2020","1500000US721270006001","721270006001","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000600","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"74481","0","1","Block Group 1","S","+18.4631265","-066.0988252","BG",522,239,58,53,4,1,0,123,283,271,10,0,0,0,216,0,0,0,42,0,0,3,0,0,0,7,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700006002","2020","1500000US721270006002","721270006002","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000600","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"619946","1069889","2","Block Group 2","S","+18.4630413","-066.1129845","BG",1456,639,327,80,4,12,0,216,817,772,7,1,2,0,672,0,0,0,83,1,1,2,0,2,1,35,6,0,0,24,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G72012700007001","2020","1500000US721270007001","721270007001","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000700","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"311769","423636","1","Block Group 1","S","+18.4667858","-066.1010494","BG",686,286,141,25,2,4,0,114,400,379,2,0,1,0,320,6,0,0,46,0,0,4,0,0,0,13,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700007002","2020","1500000US721270007002","721270007002","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000700","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"521842","298579","2","Block Group 2","S","+18.4632161","-066.0915457","BG",1266,649,258,66,0,32,0,293,617,592,5,2,1,0,514,2,0,0,62,0,0,6,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700009001","2020","1500000US721270009001","721270009001","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000900","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"88217","216490","1","Block Group 1","S","+18.4599960","-066.0817505","BG",782,334,166,14,2,46,0,106,448,437,3,0,0,0,395,0,0,0,39,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700009002","2020","1500000US721270009002","721270009002","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000900","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"135469","93157","2","Block Group 2","S","+18.4545710","-066.0774579","BG",594,331,175,15,2,19,0,120,263,254,4,2,1,0,229,3,0,0,12,0,0,3,0,0,0,8,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700009003","2020","1500000US721270009003","721270009003","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"000900","3",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"276013","665760","3","Block Group 3","S","+18.4592776","-066.0770116","BG",1348,595,310,40,4,40,0,201,753,725,0,0,2,0,678,0,0,0,38,0,0,7,0,0,0,20,3,0,0,10,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700010011","2020","1500000US721270010011","721270010011","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001001","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"29076","613551","1","Block Group 1","S","+18.4556076","-066.0642248","BG",667,405,145,13,0,29,0,218,262,252,0,0,0,0,241,0,0,0,9,0,0,0,0,2,0,8,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700010012","2020","1500000US721270010012","721270010012","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001001","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"116135","0","2","Block Group 2","S","+18.4516217","-066.0672776","BG",1094,528,185,71,3,31,0,238,566,534,8,7,3,0,470,0,0,0,43,0,0,3,0,0,0,22,0,0,0,14,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700010013","2020","1500000US721270010013","721270010013","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001001","3",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"88431","0","3","Block Group 3","S","+18.4537698","-066.0678264","BG",1022,367,193,23,7,7,0,137,655,638,1,1,6,0,597,3,0,0,22,0,0,4,0,2,2,12,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700010014","2020","1500000US721270010014","721270010014","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001001","4",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"142361","0","4","Block Group 4","S","+18.4561054","-066.0677194","BG",1093,446,313,5,0,12,0,116,647,626,9,0,1,0,595,1,0,0,17,0,0,3,0,0,0,18,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700010021","2020","1500000US721270010021","721270010021","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001002","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"45920","0","1","Block Group 1","S","+18.4542485","-066.0614038","BG",785,359,202,8,1,13,0,135,426,398,3,4,3,0,380,2,0,0,2,0,0,3,0,0,1,10,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700010022","2020","1500000US721270010022","721270010022","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001002","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"153780","0","2","Block Group 2","S","+18.4532175","-066.0636981","BG",1279,617,324,35,6,25,0,227,662,627,11,1,1,0,596,1,0,0,14,0,0,0,0,3,0,30,9,0,0,9,0,0,5,0,1,0,0,0,3,0,3,0,0,0,0,0,5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700011001","2020","1500000US721270011001","721270011001","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001100","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"134152","0","1","Block Group 1","S","+18.4527216","-066.0584231","BG",1123,576,360,32,3,8,0,173,547,535,4,3,0,0,502,0,1,0,22,0,0,1,0,0,2,12,2,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700011002","2020","1500000US721270011002","721270011002","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001100","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"192686","684579","2","Block Group 2","S","+18.4543064","-066.0547697","BG",688,358,198,24,10,13,0,113,330,290,9,1,2,0,255,1,0,0,12,0,0,7,0,1,2,30,11,0,0,14,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700012001","2020","1500000US721270012001","721270012001","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001200","1",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"367925","1320782","1","Block Group 1","S","+18.4646287","-066.0445899","BG",817,400,263,36,1,6,0,94,417,393,4,1,0,0,361,0,0,0,20,0,0,3,0,1,3,15,2,0,0,5,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012700012002","2020","1500000US721270012002","721270012002","9","0","Puerto Rico","72","San Juan Municipio","127",,,,,,,"001200","2",,,,,,,,"41980","1","490","99999",,,,,,,,,,,,,,,"297246","837826","2","Block Group 2","S","+18.4538730","-066.0396710","BG",1052,437,240,30,3,4,0,160,615,591,6,2,0,0,545,1,0,0,37,0,0,0,0,0,0,14,2,0,0,7,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
