BLOCKID|DISTRICT
720034304023000|98
720034304023001|98
720034304023002|98
720034304023003|98
720034304023004|98
720034304023005|98
720034304023006|98
720034304023007|98
720034304023008|98
720034305011000|98
720034305011001|98
720034305011002|98
720034305011003|98
720034305011004|98
720034305011005|98
720034305011006|98
720034305011007|98
720034305011008|98
720034305011009|98
720034305011010|98
720034305011011|98
720034305012000|98
720034305012001|98
720034305012002|98
720034305012003|98
720034305012004|98
720034305012005|98
720034305012006|98
720034305012007|98
720034305012008|98
720034305013000|98
720034305013001|98
720034305013002|98
720034305013003|98
720034305013004|98
720034305013005|98
720034305013006|98
720034305013007|98
720034305013008|98
720034305013009|98
720034305013010|98
720034305013011|98
720034305013012|98
720034305013013|98
720034305014000|98
720034305014001|98
720034305014002|98
720034305014003|98
720034305014004|98
720034305014005|98
720034305014006|98
720034305014007|98
720034305014008|98
720034305014009|98
720034305014010|98
720034305021000|98
720034305021001|98
720034305021002|98
720034305021003|98
720034305021004|98
720034305021005|98
720034305021006|98
720034305021007|98
720034305021008|98
720034305021009|98
720034305021010|98
720034305021011|98
720034305021012|98
720034305021013|98
720034305021014|98
720034305021015|98
720034305021016|98
720034305021017|98
720034305021018|98
720034305021019|98
720034305021020|98
720034305021021|98
720034305022000|98
720034305022001|98
720034305022002|98
720034305022003|98
720034305022004|98
720034305022005|98
720034305022006|98
720034305022007|98
720034305022008|98
720034305022009|98
720034305022010|98
720034305022011|98
720034305022012|98
720034305022013|98
720034305022014|98
720034305022015|98
720034306011000|98
720034306011001|98
720034306011002|98
720034306011003|98
720034306011004|98
720034306011005|98
720034306011006|98
720034306011007|98
720034306012000|98
720034306012001|98
720034306012002|98
720034306012003|98
720034306012004|98
720034306012005|98
720034306012006|98
720034306012007|98
720034306012008|98
720034306012009|98
720034306012010|98
720034306012011|98
720034306013000|98
720034306013001|98
720034306013002|98
720034306013003|98
720034306013004|98
720034306013005|98
720034306013006|98
720034306013007|98
720034306013008|98
720034306013009|98
720034306013010|98
720034306013011|98
720034306014000|98
720034306014001|98
720034306014002|98
720034306014003|98
720034306014004|98
720034306014005|98
720034306021000|98
720034306021001|98
720034306021002|98
720034306021003|98
720034306021004|98
720034306021005|98
720034306021006|98
720034306021007|98
720034306021008|98
720034306021009|98
720034306021010|98
720034306021011|98
720034306022000|98
720034306022001|98
720034306022002|98
720034306022003|98
720034306022004|98
720034306022005|98
720034306022006|98
720034306022007|98
720034306022008|98
720034306022009|98
720034306022010|98
720034306022011|98
720034306022012|98
720034306022013|98
720034306022014|98
720034306022015|98
720034306022016|98
720034306022017|98
720034306022018|98
720039900000001|98
720054001001000|98
720054001001001|98
720054001001002|98
720054001001003|98
720054001001004|98
720054001001005|98
720054001001006|98
720054001001007|98
720054001001008|98
720054001001009|98
720054001001010|98
720054001001011|98
720054001001012|98
720054001001013|98
720054001001014|98
720054001001015|98
720054001001016|98
720054001001017|98
720054001001018|98
720054001002000|98
720054001002001|98
720054001002002|98
720054001002003|98
720054001002004|98
720054001002005|98
720054001002006|98
720054001002007|98
720054001002008|98
720054001002009|98
720054001002010|98
720054001003000|98
720054001003001|98
720054001003002|98
720054001003003|98
720054001003004|98
720054001003005|98
720054001003006|98
720054001003007|98
720054001003008|98
720054001003009|98
720054001003010|98
720054001003011|98
720054001003012|98
720054001003013|98
720054001003014|98
720054001003015|98
720054001004000|98
720054001004001|98
720054001004002|98
720054001004003|98
720054001004004|98
720054001004005|98
720054001004006|98
720054001004007|98
