BLOCKID|COUNTYFP|DISTRICT
720019568001027|001|0055.2
720019568001028|001|055.12
720019568001029|001|055.12
720019568001030|001|055.12
720019568001031|001|055.12
720019568001032|001|0055.9
720019568001033|001|055.12
720019568001034|001|055.12
720019568001035|001|055.12
720019568001036|001|0055.9
720019568001037|001|0055.9
720019568001038|001|055.12
720019568001039|001|055.12
720019568001040|001|0055.9
720019568001041|001|0055.9
720019568001042|001|0055.9
720019568001043|001|0055.9
720019568001044|001|0055.9
720019568001045|001|0055.9
720019568001046|001|0055.9
720019568001047|001|0055.9
720019568001048|001|0055.9
720019568002000|001|0055.9
720019568002001|001|0055.9
720019568002002|001|0055.9
720019568002003|001|0055.9
720019568002004|001|0055.9
720019568002005|001|0055.9
720019568002006|001|0055.9
720019568002007|001|0055.9
720019568002008|001|0055.9
720019568002009|001|0055.9
720019568002010|001|0055.9
720019568002011|001|0055.9
720019568002012|001|0055.9
720019568002013|001|055.12
720019568002014|001|055.11
720019568002015|001|055.11
720019568002016|001|055.11
720019568002017|001|055.11
720019568002018|001|0055.9
720019568002019|001|0055.9
720019568002020|001|055.11
720019568002021|001|055.11
720019568002022|001|0055.9
720019568002023|001|0055.9
720019568002024|001|0055.9
720019568002025|001|0055.9
720019568002026|001|0055.9
720019568002027|001|0055.9
720019568002028|001|0055.9
720019568002029|001|0055.9
720019568002030|001|0055.9
720019568002031|001|0055.9
720019568002032|001|0055.9
720019568002033|001|0055.9
720019568002034|001|055.11
720019568002035|001|0055.9
720019568002036|001|055.11
720019568002037|001|055.11
720019568002038|001|055.11
720019568002039|001|055.11
720019568002040|001|055.11
720019568002041|001|055.11
720019568002042|001|055.11
720019568002043|001|055.11
720019568002044|001|055.11
720019568002045|001|055.11
720019568002046|001|055.11
720019568002047|001|055.11
720019568002048|001|055.11
720019568002049|001|055.11
720019568002050|001|055.11
720019568002051|001|055.11
720019568002052|001|0055.7
720019568002053|001|0055.7
720019568002054|001|0055.7
720019568002055|001|055.11
720019568002056|001|0055.9
720019568002057|001|0055.9
720019568002058|001|0055.9
720019568002059|001|0055.9
720019568002060|001|0055.9
720019568002061|001|0055.9
720019568002062|001|0055.9
720019568002063|001|0055.9
720019568002064|001|0055.9
720019568002065|001|055.11
720019568002066|001|055.11
720019568002067|001|055.11
720019568002068|001|055.11
720019568002069|001|055.11
720019568002070|001|055.11
720019568002071|001|055.11
720019568002072|001|0055.9
720019568002073|001|0055.9
720019568002074|001|0055.9
720019568002075|001|0055.9
720019568002076|001|0055.9
720034301001000|003|ZZZZZZ
720034301001001|003|0038.9
720034301001002|003|0038.9
720034301001003|003|0038.9
720034301001004|003|0038.9
720034301001005|003|0038.9
720034301001006|003|0038.9
720034301001007|003|0038.9
720034301001008|003|0038.9
720034301001009|003|0038.9
720034301001010|003|0038.9
720034301001011|003|0038.9
720034301001012|003|0038.9
720034301001013|003|0038.9
720034301001014|003|0038.9
720034301001015|003|0038.8
720034301001016|003|0038.8
720034301001017|003|0038.8
720034301001018|003|0038.8
720034301001019|003|0038.8
720034301001020|003|0038.8
720034301001021|003|0038.8
720034301002000|003|038.14
720034301002001|003|038.14
720034301002002|003|038.14
720034301002003|003|038.14
720034301002004|003|038.14
720034301002005|003|038.14
720034301002006|003|038.14
720034301002007|003|038.14
720034301002008|003|038.17
720034301002009|003|038.14
720034301002010|003|038.14
720034301002011|003|038.14
720034301003000|003|038.13
720034301003001|003|038.13
720034301003002|003|038.13
720034301003003|003|038.13
720034301003004|003|038.12
720034301003005|003|038.12
720034301003006|003|038.12
720034301003007|003|038.13
720034301003008|003|038.13
720034301003009|003|038.13
720034301003010|003|038.13
720034301003011|003|038.13
720034301003012|003|038.14
720034301003013|003|038.14
720034301003014|003|038.13
720034301003015|003|038.13
720034301003016|003|038.12
720034301003017|003|0038.5
720034301003018|003|038.13
720034301003019|003|038.13
720034301003020|003|038.14
720034301003021|003|038.14
720034301003022|003|038.17
720034301003023|003|038.14
720034302001000|003|ZZZZZZ
720034302001001|003|0038.6
720034302001002|003|0038.6
720034302001003|003|0038.6
720034302001004|003|0038.6
720034302001005|003|0038.6
720034302001006|003|0038.8
720034302001007|003|0038.8
720034302001008|003|0038.8
720034302001009|003|0038.6
720034302001010|003|ZZZZZZ
720034302001011|003|0038.6
720034302001012|003|0038.6
720034302001013|003|0038.6
720034302001014|003|0038.6
720034302001015|003|0038.6
720034302001016|003|0038.6
720034302001017|003|0038.6
720034302001018|003|0038.6
720034302001019|003|0038.6
720034302001020|003|0038.6
720034302001021|003|0038.6
720034302001022|003|038.12
720034302001023|003|0038.8
720034302001024|003|038.12
720034302002000|003|0038.6
720034302002001|003|0038.6
720034302002002|003|0038.6
720034302002003|003|0038.6
720034302002004|003|0038.6
720034302002005|003|0038.4
720034302002006|003|0038.4
720034302002007|003|0038.6
720034302002008|003|0038.6
720034302002009|003|0038.4
720034302002010|003|0038.4
720034302002011|003|0038.4
720034302002012|003|0038.4
720034302002013|003|0038.6
720034302002014|003|0038.6
720034302002015|003|0038.4
720034302002016|003|0038.4
720034302002017|003|0038.6
720034302002018|003|0038.6
720034302002019|003|0038.6
720034302002020|003|0038.6
720034302002021|003|0038.6
720034302002022|003|0038.6
720034302002023|003|0038.6
720034302002024|003|0038.6
720034302002025|003|0038.6
720034302003000|003|0038.8
720034302003001|003|038.12
720034302003002|003|038.12
720034302003003|003|038.12
720034302003004|003|038.12
720034302003005|003|038.12
720034302003006|003|038.12
720034302003007|003|0038.6
720034302003008|003|0038.6
720034302003009|003|0038.6
720034302003010|003|0038.6
720034302003011|003|038.12
720034302003012|003|038.12
720034302003013|003|038.12
720034302003014|003|038.12
720034302003015|003|038.12
720034302003016|003|038.12
720034302003017|003|038.12
720034302003018|003|0038.6
720034302003019|003|0038.6
720034303001000|003|ZZZZZZ
720034303001001|003|0038.6
720034303001002|003|0038.6
720034303001003|003|0038.6
720034303001004|003|0038.6
720034303001005|003|0038.6
720034303001006|003|0038.6
720034303001007|003|0038.6
720034303001008|003|0038.6
720034303001009|003|0038.6
720034303001010|003|0038.6
720034303001011|003|0038.6
720034303001012|003|0038.6
720034303001013|003|0038.6
720034303001014|003|0038.4
720034303002000|003|0038.4
720034303002001|003|0038.4
720034303002002|003|0038.4
720034303002003|003|0038.4
720034303002004|003|0038.4
720034303002005|003|0038.6
720034303002006|003|0038.6
720034303002007|003|0038.4
720034303002008|003|0038.4
720034303002009|003|0038.4
720034303002010|003|038.16
720034303002011|003|0038.6
720034303002012|003|0038.6
720034303002013|003|0038.6
720034303002014|003|0038.6
720034303002015|003|0038.6
720034303002016|003|0038.6
720034303002017|003|0038.6
720034303002018|003|0038.6
720034303002019|003|0038.6
720034303003000|003|0038.4
720034303003001|003|0038.4
720034303003002|003|0038.4
720034303003003|003|0038.4
720034303003004|003|0038.4
720034303003005|003|0038.4
720034303003006|003|0038.4
720034303003007|003|0038.4
720034304011000|003|038.13
720034304011001|003|038.13
720034304011002|003|038.13
720034304011003|003|038.13
720034304011004|003|038.13
720034304011005|003|038.13
720034304011006|003|038.13
720034304011007|003|038.13
720034304011008|003|038.13
720034304011009|003|038.13
720034304011010|003|038.11
720034304011011|003|038.11
720034304012000|003|0038.5
720034304012001|003|0038.5
720034304012002|003|038.12
720034304012003|003|0038.5
720034304012004|003|0038.5
720034304012005|003|0038.5
720034304013000|003|0038.5
720034304013001|003|0038.5
720034304013002|003|0038.5
720034304013003|003|038.13
720034304013004|003|038.13
720034304013005|003|038.13
720034304013006|003|038.13
720034304013007|003|038.13
720034304013008|003|038.13
720034304013009|003|038.13
720034304013010|003|038.13
720034304013011|003|0038.5
720034304021000|003|038.17
720034304021001|003|038.17
720034304021002|003|038.17
720034304021003|003|038.14
720034304021004|003|038.17
720034304021005|003|038.10
720034304021006|003|038.14
720034304021007|003|038.17
720034304021008|003|038.17
720034304021009|003|038.10
720034304021010|003|038.10
720034304021011|003|038.10
720034304021012|003|038.17
720034304021013|003|038.17
720034304021014|003|038.17
720034304022000|003|038.10
720034304022001|003|038.10
720034304022002|003|038.11
720034304022003|003|038.11
720034304022004|003|038.11
720034304022005|003|038.11
720034304022006|003|038.10
720034304022007|003|038.10
720034304022008|003|038.10
720034304022009|003|038.10
720034304022010|003|038.10
720034304022011|003|038.10
720034304022012|003|038.10
720034304022013|003|038.10
720034304022014|003|038.10
720034304022015|003|038.10
720034304022016|003|038.10
720034304022017|003|038.11
720034304022018|003|038.10
720034304022019|003|038.10
720034304023000|003|038.14
720034304023001|003|038.14
720034304023002|003|038.17
720034304023003|003|038.17
720034304023004|003|038.17
720034304023005|003|038.17
720034304023006|003|038.10
720034304023007|003|038.17
720034304023008|003|038.17
720034305011000|003|038.13
720034305011001|003|038.13
720034305011002|003|0038.2
720034305011003|003|0038.2
720034305011004|003|0038.5
720034305011005|003|0038.5
720034305011006|003|0038.2
720034305011007|003|0038.2
720034305011008|003|0038.2
720034305011009|003|0038.2
720034305011010|003|0038.2
720034305011011|003|038.11
720034305012000|003|0038.5
720034305012001|003|0038.5
720034305012002|003|0038.5
720034305012003|003|0038.2
720034305012004|003|0038.2
720034305012005|003|0038.3
720034305012006|003|0038.5
720034305012007|003|0038.2
720034305012008|003|0038.5
720034305013000|003|0038.5
720034305013001|003|0038.5
720034305013002|003|038.16
720034305013003|003|038.16
720034305013004|003|038.16
720034305013005|003|038.16
720034305013006|003|038.16
720034305013007|003|0038.5
720034305013008|003|0038.5
720034305013009|003|0038.5
720034305013010|003|038.16
720034305013011|003|038.16
720034305013012|003|038.16
720034305013013|003|0038.5
720034305014000|003|0038.5
720034305014001|003|0038.5
720034305014002|003|0038.5
720034305014003|003|0038.5
720034305014004|003|0038.5
720034305014005|003|038.16
720034305014006|003|038.16
720034305014007|003|038.16
720034305014008|003|038.16
720034305014009|003|0038.3
720034305014010|003|038.16
720034305021000|003|0038.5
720034305021001|003|038.16
720034305021002|003|0038.3
720034305021003|003|0038.5
720034305021004|003|0038.3
720034305021005|003|0038.3
720034305021006|003|0038.2
720034305021007|003|0038.2
720034305021008|003|0038.2
720034305021009|003|0038.3
720034305021010|003|0038.3
720034305021011|003|0038.3
720034305021012|003|0038.3
720034305021013|003|0038.3
720034305021014|003|0038.7
720034305021015|003|0038.7
720034305021016|003|0038.7
720034305021017|003|0038.7
720034305021018|003|0038.7
720034305021019|003|0038.7
720034305021020|003|0038.7
720034305021021|003|0038.7
720034305022000|003|038.11
720034305022001|003|038.11
720034305022002|003|038.11
720034305022003|003|038.11
720034305022004|003|038.11
720034305022005|003|038.11
720034305022006|003|0038.2
720034305022007|003|038.11
720034305022008|003|038.11
720034305022009|003|038.10
720034305022010|003|038.10
720034305022011|003|0038.7
720034305022012|003|0038.2
720034305022013|003|038.10
720034305022014|003|038.10
720034305022015|003|038.10
720034306011000|003|038.16
720034306011001|003|038.16
720034306011002|003|038.15
720034306011003|003|038.15
720034306011004|003|038.15
720034306011005|003|038.15
720034306011006|003|038.16
720034306011007|003|038.16
720034306012000|003|038.15
720034306012001|003|038.15
720034306012002|003|038.15
720034306012003|003|038.15
720034306012004|003|038.15
720034306012005|003|038.15
720034306012006|003|038.15
720034306012007|003|038.15
720034306012008|003|038.15
720034306012009|003|038.15
720034306012010|003|038.15
720034306012011|003|038.16
720034306013000|003|0038.3
720034306013001|003|0038.3
720034306013002|003|0038.3
720034306013003|003|0038.3
720034306013004|003|0038.3
720034306013005|003|0038.3
720034306013006|003|0038.7
720034306013007|003|0038.7
720034306013008|003|0038.7
720034306013009|003|0038.7
720034306013010|003|0038.7
720034306013011|003|038.16
720034306014000|003|038.16
720034306014001|003|038.16
720034306014002|003|038.16
720034306014003|003|038.16
720034306014004|003|0038.3
720034306014005|003|038.16
720034306021000|003|ZZZZZZ
720034306021001|003|0038.1
720034306021002|003|0038.1
720034306021003|003|0038.1
720034306021004|003|0038.1
720034306021005|003|0038.1
720034306021006|003|0038.1
720034306021007|003|0038.1
720034306021008|003|0038.1
720034306021009|003|0038.1
720034306021010|003|0038.1
720034306021011|003|0038.1
720034306022000|003|0038.4
720034306022001|003|0038.4
720034306022002|003|0038.1
720034306022003|003|0038.1
720034306022004|003|ZZZZZZ
720034306022005|003|0038.1
720034306022006|003|0038.1
720034306022007|003|0038.1
720034306022008|003|0038.4
720034306022009|003|0038.4
720034306022010|003|0038.4
720034306022011|003|0038.4
720034306022012|003|0038.4
720034306022013|003|0038.4
720034306022014|003|0038.1
720034306022015|003|0038.1
720034306022016|003|0038.1
720034306022017|003|0038.1
720034306022018|003|0038.1
720039900000001|003|ZZZZZZ
720054001001000|005|ZZZZZZ
720054001001001|005|0035.8
720054001001002|005|0035.8
720054001001003|005|0035.8
720054001001004|005|0035.8
720054001001005|005|0035.8
720054001001006|005|0035.8
720054001001007|005|0035.8
720054001001008|005|0035.8
720054001001009|005|0035.8
720054001001010|005|0035.8
720054001001011|005|0035.8
720054001001012|005|0035.8
720054001001013|005|0035.8
720054001001014|005|0035.8
720054001001015|005|0035.8
720054001001016|005|0035.8
720054001001017|005|0035.5
720054001001018|005|0035.5
720054001002000|005|0035.8
720054001002001|005|0035.8
720054001002002|005|0035.8
720054001002003|005|0035.8
720054001002004|005|0035.8
720054001002005|005|0035.8
720054001002006|005|0035.8
720054001002007|005|0035.8
720054001002008|005|0035.8
720054001002009|005|0035.8
720054001002010|005|0035.8
720054001003000|005|0035.8
720054001003001|005|0035.8
720054001003002|005|0035.8
720054001003003|005|0035.8
720054001003004|005|0035.8
720054001003005|005|0035.8
720054001003006|005|0035.8
720054001003007|005|0035.8
720054001003008|005|0035.8
720054001003009|005|0035.8
720054001003010|005|0035.8
720054001003011|005|0035.8
720054001003012|005|0035.8
720054001003013|005|0035.8
720054001003014|005|0035.8
720054001003015|005|0035.8
720054001004000|005|0035.8
720054001004001|005|0035.8
720054001004002|005|0035.8
720054001004003|005|0035.8
720054001004004|005|0035.8
720054001004005|005|0035.8
720054001004006|005|0035.8
720054001004007|005|0035.8
720054001004008|005|0035.8
